predicate,object,location,time,duration,more
calculate,cash,accounting,morning|noon|afternoon|evening|nighttime,1h2h,Yes
calculate,figure,accounting,morning|noon|afternoon|evening,2h,Yes
consult,accountant,accounting,morning|noon|afternoon,15m30m,Yes
file,tax,accounting,morning|noon|afternoon,1h2h,Yes
get,accountant,accounting,morning|noon|afternoon|evening,2h,No
leave,reception,accounting,morning|noon|afternoon,15m30m,Yes
review,general_ledger,accounting,afternoon,30m1h,Yes
review,sale,accounting,morning|afternoon,1h2h,No
turn over,record,accounting,morning|noon|afternoon,1h2h,Yes
visit,accountant,accounting,noon,30m1h,No
board,aircraft,airport,morning|noon|afternoon|evening|nighttime,0m15m,Yes
board,airplane,airport,morning|noon|afternoon|evening|nighttime,0m15m,Yes
book,flight,airport,morning|noon|afternoon|evening|nighttime,2h,Yes
buy,food,airport,morning|noon|afternoon|evening|nighttime,30m1h,Yes
catch,airplane,airport,morning|noon|afternoon|evening|nighttime,2h,Yes
fly,airplane,airport,morning|noon|afternoon|evening|nighttime,2h,Yes
get on,airplane,airport,morning|noon|afternoon|evening|nighttime,2h,Yes
land,Colonel_Blimp,airport,morning|noon|afternoon|evening|nighttime,none,No
land,aircraft,airport,morning|noon|afternoon|evening|nighttime,none,No
land,helicopter,airport,morning|noon|afternoon|evening|nighttime,none,No
sit,airplane,airport,morning|noon|afternoon|evening|nighttime,30m1h,Yes
take off,Colonel_Blimp,airport,morning|noon|afternoon|evening|nighttime,none,No
take off,aircraft,airport,morning|noon|afternoon|evening|nighttime,none,No
take off,helicopter,airport,morning|noon|afternoon|evening|nighttime,none,No
take off,helicopter,airport,morning|noon|afternoon|evening|nighttime,0m15m,Yes
buy,food,amusement_park,morning|noon|afternoon|evening,2h,Yes
buy,gift,amusement_park,morning|noon|afternoon|evening,15m30m,Yes
eat,cotton_candy,amusement_park,morning|noon|afternoon|evening,15m30m,Yes
eat,hotdog,amusement_park,morning|noon|afternoon,15m30m,Yes
enjoy,amusement_park,amusement_park,morning|noon|afternoon|evening,none,Yes
ride,drive,amusement_park,morning|noon|afternoon|evening,0m15m,Yes
ride,play,amusement_park,morning|noon|afternoon|evening,2h,No
ride,roller_coaster,amusement_park,morning|noon|afternoon|evening|nighttime,2h,Yes
ride,rollercoster,amusement_park,morning|noon|afternoon|evening,2h,Yes
swim,swimming_pool,amusement_park,noon,2h,Yes
buy,aquarium,aquarium,morning|evening,30m1h,No
buy,food,aquarium,morning|noon|afternoon|evening,15m30m,Yes
see,animal,aquarium,evening,0m15m,Yes
see,fish,aquarium,morning,2h,No
swim,fish,aquarium,morning|noon|afternoon|evening|nighttime,none,Yes
visit,aquarium,aquarium,evening,2h,Yes
watch,fish,aquarium,morning|noon|afternoon|evening|nighttime,2h,No
watch,fish,aquarium,morning|noon|afternoon|evening,1h2h,Yes
watch,fish,aquarium,morning|noon|afternoon|evening|nighttime,none,Yes
watch,fish,aquarium,morning|noon|afternoon|evening,30m1h,Yes
buy,ticket,art_gallery,morning|noon|afternoon|evening,0m15m,Yes
drink,wine,art_gallery,afternoon|evening|nighttime,0m15m,Yes
question,curator,art_gallery,noon|afternoon|evening|nighttime,0m15m,Yes
read,book,art_gallery,morning,15m30m,Yes
see,sculpture,art_gallery,afternoon,1h2h,No
study,art,art_gallery,morning|noon|afternoon|evening,2h,Yes
view,art,art_gallery,morning|noon|afternoon|evening|nighttime,30m1h,Yes
view,art,art_gallery,noon|afternoon|evening,30m1h,Yes
view,painting,art_gallery,morning|noon|afternoon,2h,No
view,sculpture,art_gallery,morning|noon|afternoon|evening,2h,Yes
deposit,money,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
deposit,money,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
get,money,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
make,deposit,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
withdraw,cash,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
withdraw,cash,atm,morning,0m15m,No
withdraw,cash,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
withdraw,money,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
withdraw,money,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
withdraw,money,atm,morning|noon|afternoon|evening|nighttime,0m15m,Yes
bake,bread,bakery,morning|noon|afternoon,30m1h,Yes
bake,bread,bakery,morning|noon|afternoon,1h2h,Yes
bake,cake,bakery,morning|noon|afternoon|evening,2h,Yes
bake,doughnut,bakery,morning|noon,0m15m,Yes
buy,bread,bakery,morning|noon|afternoon,0m15m,Yes
buy,cookie,bakery,morning|noon|afternoon|evening,30m1h,Yes
buy,cookie,bakery,noon|afternoon,0m15m,Yes
buy,cupcake,bakery,morning|noon|afternoon|evening,15m30m,Yes
buy,ring,bakery,morning,0m15m,No
eat,bread,bakery,morning|noon|afternoon|evening,0m15m,Yes
order,cake,bakery,morning|noon|afternoon|evening,15m30m,Yes
cash,check,bank,morning|noon|afternoon,15m30m,Yes
deposit,bill,bank,morning|noon|afternoon|evening,0m15m,No
deposit,check,bank,morning|noon|afternoon|evening,15m30m,No
deposit,money,bank,morning|noon|afternoon|evening,0m15m,Yes
deposit,money,bank,morning|noon|afternoon,15m30m,No
deposit,money,bank,morning|noon|afternoon,30m1h,No
deposit,money,bank,morning|noon|afternoon,0m15m,Yes
get,money,bank,afternoon,0m15m,Yes
retrieve,money,bank,morning|noon|afternoon|evening|nighttime,0m15m,Yes
withdraw,money,bank,morning|noon|afternoon,0m15m,Yes
argue,waiter,bar,evening|nighttime,1h2h,Yes
drink,alcohol,bar,afternoon|evening|nighttime,1h2h,Yes
drink,beer,bar,afternoon|evening|nighttime,15m30m,Yes
drink,beer,bar,afternoon|evening|nighttime,15m30m,Yes
drink,beer,bar,afternoon|evening|nighttime,1h2h,Yes
drink,brandy,bar,evening|nighttime,1h2h,Yes
meet,person,bar,afternoon|evening|nighttime,2h,Yes
meet,person,bar,noon|afternoon|evening|nighttime,2h,Yes
order,shooting,bar,noon|afternoon|evening|nighttime,2h,Yes
talk,subject,bar,evening|nighttime,2h,Yes
curl,hair,beauty_salon,morning|noon|afternoon|evening,1h2h,Yes
cut,hair,beauty_salon,morning|noon|afternoon|evening,30m1h,Yes
cut,hair,beauty_salon,morning,15m30m,Yes
cut,hair,beauty_salon,morning|noon|afternoon,30m1h,Yes
do,make up,beauty_salon,morning|noon|afternoon|evening,1h2h,Yes
get,treatment,beauty_salon,morning|noon|afternoon|evening,30m1h,Yes
go for,facial,beauty_salon,morning|evening,1h2h,No
perm,hair,beauty_salon,morning|noon|afternoon,30m1h,Yes
trim,hair,beauty_salon,morning|noon|afternoon|evening,30m1h,Yes
wash,hair,beauty_salon,morning|noon|afternoon,15m30m,Yes
buy,bicycle,bicycle_store,morning|noon|afternoon,15m30m,Yes
buy,bicycle,bicycle_store,morning|noon|afternoon|evening,none,Yes
buy,bicycle,bicycle_store,morning|noon|afternoon,30m1h,Yes
go,bicycle,bicycle_store,morning,30m1h,No
look at,bicycle,bicycle_store,morning|noon|afternoon,15m30m,Yes
purchase,bicycle,bicycle_store,morning|noon|afternoon|evening,1h2h,Yes
purchase,wheel,bicycle_store,noon|afternoon|evening,0m15m,Yes
repair,wheel,bicycle_store,morning|noon|afternoon|evening,1h2h,Yes
replace,wheel,bicycle_store,morning|noon|afternoon|evening,15m30m,Yes
test drive,bicycle,bicycle_store,morning|noon|afternoon|evening,30m1h,Yes
buy,book,book_store,morning|noon|afternoon|evening,15m30m,Yes
buy,book,book_store,morning|noon|afternoon,30m1h,Yes
peruse,book,book_store,morning|noon|afternoon|evening,1h2h,Yes
purchase,book,book_store,evening,30m1h,Yes
read,book,book_store,afternoon,1h2h,Yes
read,book,book_store,morning|noon|afternoon|evening|nighttime,0m15m,Yes
read,book,book_store,morning|noon|afternoon|evening,30m1h,Yes
read,book,book_store,morning|noon|afternoon,30m1h,Yes
read,magazine,book_store,morning|noon|afternoon|evening,1h2h,Yes
sign,book,book_store,morning|noon|afternoon|evening,2h,Yes
bowl,ball,bowling_alley,evening,1h2h,No
bowl,strike,bowling_alley,morning|noon|afternoon|evening|nighttime,0m15m,Yes
buy,food,bowling_alley,noon|afternoon|evening,1h2h,Yes
eat,hotdog,bowling_alley,morning|noon|afternoon|evening|nighttime,0m15m,Yes
eat,nacho,bowling_alley,noon|afternoon|evening|nighttime,0m15m,Yes
go,bowling,bowling_alley,evening,2h,Yes
rent,shoe,bowling_alley,morning|noon|afternoon|evening|nighttime,2h,Yes
roll,ball,bowling_alley,noon|afternoon|evening,1h2h,Yes
sing,karaoke,bowling_alley,morning|noon|afternoon|evening|nighttime,2h,Yes
throw,ball,bowling_alley,noon|afternoon|evening,1h2h,Yes
throw,bowling_ball,bowling_alley,morning|noon|afternoon|evening|nighttime,30m1h,No
board,bus,bus_station,morning|noon|afternoon|evening|nighttime,0m15m,Yes
catch,bus,bus_station,morning,15m30m,No
catch,bus,bus_station,morning|noon|afternoon|evening|nighttime,1h2h,Yes
disembark,bus_terminal,bus_station,morning|noon|afternoon|evening|nighttime,0m15m,Yes
enter,bus,bus_station,morning|noon|afternoon|evening|nighttime,15m30m,Yes
get,off,bus_station,afternoon,0m15m,Yes
pick up,set,bus_station,morning,0m15m,Yes
pick up the gauntlet,passenger,bus_station,morning,15m30m,Yes
ride,bus,bus_station,morning|noon|afternoon|evening,30m1h,Yes
take,reservation,bus_station,morning|noon|afternoon|evening|nighttime,30m1h,Yes
wait,driver,bus_station,morning|noon|afternoon|evening|nighttime,30m1h,Yes
buy,food,cafe,morning|noon|afternoon|evening,30m1h,Yes
drink,coffee,cafe,morning|noon|afternoon|evening,30m1h,No
drink,coffee,cafe,morning|noon|afternoon|evening,15m30m,Yes
drink,coffee,cafe,morning|noon|afternoon|evening|nighttime,0m15m,Yes
drink,coffee,cafe,evening,0m15m,Yes
meet up with,person,cafe,morning|noon|afternoon|evening,30m1h,Yes
order,caffe_latte,cafe,morning|noon|afternoon|evening|nighttime,15m30m,Yes
order,cocoa,cafe,morning|noon|afternoon|evening,0m15m,Yes
order,espresso,cafe,morning|noon|afternoon|evening|nighttime,0m15m,Yes
sip,caffe_latte,cafe,morning|noon|afternoon,30m1h,Yes
barbecue,sausage,campground,morning|noon|afternoon|evening|nighttime,2h,Yes
ca-ca,Cam,campground,evening,1h2h,Yes
pitch,tent,campground,morning|noon|afternoon|evening|nighttime,15m30m,Yes
pitch,tent,campground,morning|noon|afternoon|evening|nighttime,2h,Yes
pitch,tent,campground,morning|noon|afternoon,0m15m,Yes
roast,marshmallow,campground,morning|noon|afternoon|evening|nighttime,15m30m,Yes
sing along,campfire,campground,afternoon|evening|nighttime,30m1h,Yes
sleep,homo,campground,afternoon|evening|nighttime,none,Yes
sleep,sleeping_bag,campground,morning|noon|afternoon|evening|nighttime,2h,Yes
start,fire,campground,morning|noon|afternoon|evening,0m15m,Yes
stay,campsite,campground,afternoon|nighttime,2h,Yes
buy,car,car_dealer,morning|noon|afternoon|evening,2h,Yes
buy,car,car_dealer,morning|noon|afternoon,2h,Yes
buy,vehicle,car_dealer,morning|noon|afternoon|evening|nighttime,1h2h,Yes
choose,truck,car_dealer,morning|noon|afternoon|evening|nighttime,2h,Yes
purchase,car,car_dealer,morning|noon|afternoon|evening,1h2h,Yes
rent,minivan,car_dealer,morning|afternoon|evening,2h,Yes
sell,car,car_dealer,noon,2h,Yes
sell,car,car_dealer,morning|noon|evening,1h2h,No
trade in,car,car_dealer,morning|noon|afternoon|evening|nighttime,2h,Yes
trade in,car,car_dealer,morning|noon|afternoon|evening,1h2h,Yes
get,car,car_rental,morning|noon|afternoon|evening|nighttime,2h,Yes
get,car,car_rental,morning,30m1h,No
lease,car,car_rental,morning|noon|afternoon|evening,1h2h,Yes
rent,avant-garde,car_rental,morning|noon|afternoon|evening|nighttime,30m1h,Yes
rent,car_rental,car_rental,morning|afternoon,1h2h,No
rent,truck,car_rental,noon|afternoon,2h,No
rent,vehicle,car_rental,morning,2h,No
rent,vehicle,car_rental,morning|noon|afternoon|evening|nighttime,30m1h,Yes
rent out,car,car_rental,morning,0m15m,No
rent out,car,car_rental,morning,2h,Yes
return,car,car_rental,morning|noon|afternoon|evening|nighttime,15m30m,Yes
change,oil,car_repair,morning|noon|afternoon|evening,0m15m,Yes
change,oil,car_repair,morning|noon|afternoon|evening,30m1h,Yes
change,tire,car_repair,morning|noon|afternoon|evening,15m30m,Yes
fix,car,car_repair,morning|noon|afternoon,30m1h,Yes
fix,car,car_repair,noon,30m1h,Yes
pay,machinist,car_repair,morning|noon|afternoon,15m30m,Yes
pay,machinist,car_repair,morning|noon|afternoon,0m15m,No
prevent,vehicle,car_repair,afternoon,none,No
repair,car,car_repair,morning|noon|afternoon|evening,2h,Yes
repair,caravan,car_repair,afternoon,15m30m,Yes
clean,vehicle,car_wash,morning,15m30m,No
clean,vehicle,car_wash,morning|afternoon|evening,0m15m,No
pay,teller,car_wash,morning|noon|afternoon,0m15m,Yes
vacuum,rug,car_wash,morning|noon|afternoon|evening|nighttime,15m30m,Yes
wash,car,car_wash,morning|noon|afternoon|evening,15m30m,Yes
wash,car,car_wash,morning|noon|afternoon|evening|nighttime,30m1h,No
wash,car,car_wash,morning|noon|afternoon|evening|nighttime,15m30m,Yes
wash,vacuum,car_wash,morning|noon|afternoon|evening,0m15m,No
wash,vehicle,car_wash,morning|noon|afternoon,15m30m,Yes
wax,vehicle,car_wash,morning|noon|afternoon,15m30m,No
buy,food,casino,noon|afternoon|evening,15m30m,Yes
gamble,house,casino,morning|noon|afternoon|evening|nighttime,2h,No
gamble,house,casino,evening|nighttime,2h,Yes
gamble,money,casino,morning|noon|afternoon|evening|nighttime,0m15m,Yes
place,bet,casino,morning|noon|afternoon|evening|nighttime,2h,Yes
place,stake,casino,morning|noon|afternoon|evening|nighttime,2h,Yes
play,game,casino,morning|noon|afternoon|evening|nighttime,2h,Yes
play,roulette,casino,morning|noon|afternoon|evening|nighttime,2h,Yes
spend,money,casino,noon|afternoon|evening,2h,Yes
win,money,casino,morning|noon|afternoon|evening|nighttime,1h2h,Yes
win,pot,casino,morning|noon|afternoon|evening|nighttime,none,Yes
attend,funeral,cemetery,morning|noon|afternoon,30m1h,No
bury,cemetery,cemetery,morning|noon|afternoon|evening,30m1h,No
bury,family,cemetery,morning|noon|afternoon|evening,1h2h,Yes
cremate,body,cemetery,evening,2h,No
honor,dead,cemetery,morning|noon|afternoon|evening,1h2h,Yes
leave,flower,cemetery,morning|noon|afternoon|evening,1h2h,Yes
look at,grave,cemetery,morning|noon|afternoon,30m1h,No
pray,priest,cemetery,morning|afternoon|evening,1h2h,No
visit,grave,cemetery,morning|noon|afternoon,15m30m,Yes
visit,relative,cemetery,morning|noon|afternoon|evening|nighttime,30m1h,Yes
get,baptism,church,morning|noon|afternoon|evening,30m1h,Yes
marry,couple,church,morning,1h2h,Yes
meet,person,church,morning|noon|afternoon|evening,1h2h,Yes
pay,due,church,morning|noon|afternoon|evening,0m15m,Yes
praise,God,church,morning|noon,1h2h,Yes
pray,God,church,morning|evening,15m30m,Yes
pray,fan,church,morning|afternoon|evening,2h,Yes
read,Bible,church,morning,30m1h,Yes
visit,curate,church,morning|noon|afternoon|evening|nighttime,30m1h,Yes
worship,God,church,morning|noon|afternoon|evening,1h2h,Yes
bill,bill,city_hall,morning|noon|afternoon,15m30m,Yes
marry,spouse,city_hall,morning|noon|afternoon,30m1h,Yes
meet up with,administrator,city_hall,morning|noon|afternoon|evening,2h,No
meet up with,curate,city_hall,morning|noon|afternoon|evening,2h,No
pay,bill,city_hall,morning|noon|afternoon,15m30m,Yes
pay,tax,city_hall,morning|noon|afternoon,15m30m,Yes
pay for,parking_ticket,city_hall,morning,15m30m,Yes
visit,mayor,city_hall,morning|noon|afternoon,30m1h,Yes
visit,municipal,city_hall,morning,30m1h,No
visit,secretary,city_hall,morning|noon|afternoon|evening,30m1h,Yes
watch,deputation,city_hall,morning|noon|afternoon,30m1h,Yes
buy,apparel,clothing_store,morning|noon|afternoon,30m1h,Yes
buy,apparel,clothing_store,morning|noon|afternoon|evening,1h2h,No
buy,apparel,clothing_store,morning|noon|afternoon|evening,1h2h,No
buy,apparel,clothing_store,evening,2h,Yes
buy,dress,clothing_store,morning|evening|nighttime,1h2h,No
buy,shirt,clothing_store,morning|noon|afternoon|evening,30m1h,Yes
buy,shirt,clothing_store,noon|afternoon|evening,2h,Yes
buy,suit,clothing_store,morning|noon|afternoon,30m1h,Yes
cab,fabric,clothing_store,evening,1h2h,Yes
purchase,shirt,clothing_store,morning|noon|afternoon|evening,0m15m,No
wear,fabric,clothing_store,morning|noon|afternoon|evening,none,No
buy,beer,convenience_store,morning|noon|afternoon|evening,0m15m,Yes
buy,bit,convenience_store,morning|noon|afternoon|evening|nighttime,0m15m,Yes
buy,candy,convenience_store,morning|noon|afternoon|evening,0m15m,Yes
buy,candy,convenience_store,noon,0m15m,Yes
buy,grocery_store,convenience_store,morning|noon|afternoon|evening|nighttime,0m15m,Yes
buy,scratch-off,convenience_store,morning|noon|afternoon|evening|nighttime,0m15m,Yes
buy,toiletry,convenience_store,morning|noon|afternoon|evening,15m30m,No
buy food,rice,convenience_store,evening,0m15m,No
go,shopping,convenience_store,morning,2h,Yes
purchase,food,convenience_store,morning|noon|afternoon|evening|nighttime,15m30m,Yes
shop at,bag,convenience_store,morning|noon|afternoon|evening|nighttime,30m1h,No
argue,courthouse,courthouse,morning,1h2h,No
be,sentence,courthouse,morning|noon|afternoon,none,Yes
case,courthouse,courthouse,morning,1h2h,Yes
home,building,courthouse,morning,none,No
pay,ticket,courthouse,morning|noon|afternoon,30m1h,Yes
plead,case,courthouse,morning|noon|afternoon,30m1h,No
see,judge,courthouse,morning|noon|afternoon|evening|nighttime,1h2h,Yes
stand,test,courthouse,morning|noon|afternoon,2h,Yes
stand for,test,courthouse,afternoon,2h,Yes
talk about,case,courthouse,morning|noon|afternoon,1h2h,Yes
visit,lawer,courthouse,morning,2h,No
brush,tooth,dentist,afternoon,0m15m,Yes
fix,tooth,dentist,morning|noon|afternoon,30m1h,Yes
fix,tooth,dentist,morning|noon|afternoon,30m1h,Yes
occidentalise,dentist,dentist,afternoon,none,Yes
pull,tooth,dentist,morning|noon|afternoon,30m1h,Yes
pull,tooth,dentist,morning|noon|afternoon,30m1h,Yes
pull out,tooth,dentist,morning|noon|afternoon|evening,15m30m,Yes
specialize,disease,dentist,morning|noon|afternoon|evening|nighttime,none,No
visit,dentist,dentist,morning|noon|afternoon,1h2h,Yes
visit,surgery,dentist,morning|noon|afternoon,1h2h,No
browse,item,department_store,morning|noon|afternoon|evening,1h2h,Yes
buy,apparel,department_store,afternoon,1h2h,Yes
buy,good,department_store,evening,15m30m,Yes
buy,shoe,department_store,morning|noon|afternoon|evening,15m30m,Yes
buy,shoe,department_store,evening,15m30m,Yes
buy,slack,department_store,morning|noon|afternoon|evening,15m30m,Yes
look,merchandise,department_store,morning|noon|afternoon,30m1h,Yes
purchase,gift,department_store,morning|noon|afternoon|evening|nighttime,1h2h,Yes
retail,building,department_store,afternoon,none,Yes
shop at,bag,department_store,morning|noon|afternoon|evening|nighttime,15m30m,No
shop at,bag,department_store,morning|noon|afternoon|evening|nighttime,30m1h,No
diagnose,injection,doctor,morning,0m15m,Yes
diagnose,symptom,doctor,morning|noon|afternoon|evening,1h2h,Yes
examine,body,doctor,morning|noon|afternoon|evening,30m1h,Yes
get,check,doctor,evening,30m1h,Yes
get,test,doctor,morning|noon|afternoon|evening|nighttime,1h2h,Yes
obtain,prescription,doctor,morning|noon|afternoon|evening|nighttime,30m1h,Yes
pay,doctor,doctor,morning|noon|afternoon,0m15m,No
test,blood,doctor,morning|noon|afternoon|evening|nighttime,30m1h,Yes
treat,patient,doctor,afternoon,15m30m,Yes
visit,doctor,doctor,morning|noon|afternoon|evening|nighttime,30m1h,No
buy,wiring,electrician,morning|noon|afternoon,15m30m,Yes
connect,motor,electrician,morning|noon|afternoon|evening|nighttime,30m1h,Yes
fix,stove,electrician,morning|noon|afternoon|evening,30m1h,Yes
fix,wire,electrician,morning|noon|afternoon,15m30m,Yes
fix,wiring,electrician,morning|noon|afternoon|evening,1h2h,No
get,electrician,electrician,morning|noon|afternoon|evening,1h2h,No
get,wire,electrician,morning|noon|afternoon,0m15m,No
pay,electrician,electrician,morning|noon|afternoon,0m15m,No
repair,cupboard,electrician,morning|noon|afternoon|evening|nighttime,1h2h,Yes
wire,apartment,electrician,morning|noon|afternoon|evening|nighttime,2h,Yes
buy,appliance,electronics_store,morning|noon|afternoon|evening,2h,Yes
buy,computer,electronics_store,morning|noon|afternoon|evening,30m1h,Yes
buy,electronic,electronics_store,morning|noon|afternoon,15m30m,No
buy,electronic,electronics_store,morning|noon|afternoon,30m1h,Yes
buy,television,electronics_store,morning|noon|afternoon|evening|nighttime,1h2h,Yes
look at,electronic,electronics_store,morning|noon|afternoon,30m1h,Yes
look for,computer_game,electronics_store,morning|noon|afternoon|evening,30m1h,Yes
purchase,television,electronics_store,morning|noon|evening,1h2h,Yes
